Wall time,Step,Value
1763183252.818031,0,0.09893704205751419
1763183272.1672733,1,0.15590079128742218
1763183291.8570647,2,0.22949032485485077
1763183311.1969564,3,0.32924503087997437
1763183330.5143924,4,0.27609702944755554
1763183350.3267334,5,0.3693104386329651
1763183370.0109844,6,0.37121832370758057
1763183389.5376186,7,0.34614336490631104
1763183409.183297,8,0.2845461964607239
1763183428.7611885,9,0.2613791227340698
1763183448.2253456,10,0.41155627369880676
1763183467.5089765,11,0.3202507495880127
1763183486.9111762,12,0.46306896209716797
1763183506.25478,13,0.40365222096443176
1763183525.621775,14,0.4110111892223358
1763183544.9748566,15,0.460888534784317
1763183564.2456365,16,0.3221586346626282
1763183583.7605236,17,0.39602071046829224
1763183603.0869865,18,0.4837830364704132
1763183622.546307,19,0.47914963960647583
1763183641.860326,20,0.47560644149780273
1763183661.2959235,21,0.45271191000938416
1763183680.7012665,22,0.4033796787261963
1763183700.036077,23,0.3376941978931427
1763183719.5977173,24,0.39138731360435486
1763183738.9936948,25,0.4298173785209656
1763183758.50503,26,0.4279095232486725
1763183777.7718587,27,0.49986371397972107
1763183797.146326,28,0.45352956652641296
1763183816.6054468,29,0.433905690908432
1763183836.2041554,30,0.4717906713485718
1763183855.7036045,31,0.418097585439682
1763183874.9049482,32,0.441809743642807
1763183894.1285648,33,0.443445086479187
1763183913.4573162,34,0.418097585439682
1763183932.6169004,35,0.3532297611236572
1763183952.04889,36,0.4295448362827301
1763183971.3033953,37,0.34941402077674866
1763183990.665045,38,0.4497138261795044
1763184010.1733148,39,0.40365222096443176
1763184029.6249642,40,0.4769692122936249
1763184048.7732592,41,0.4243663251399994
1763184068.329439,42,0.46225130558013916
1763184087.6036677,43,0.4464431703090668
1763184106.8627152,44,0.4532570242881775
1763184126.4793618,45,0.4033796787261963
1763184145.8325946,46,0.3273371458053589
1763184165.023891,47,0.34859633445739746
1763184184.5008376,48,0.4802398383617401
1763184203.958714,49,0.5039520263671875
1763184223.4961278,50,0.4611610770225525
1763184243.0515091,51,0.46061596274375916
1763184262.5388744,52,0.3619515001773834
1763184281.9690876,53,0.3859362304210663
1763184301.1788013,54,0.44126465916633606
1763184320.3424885,55,0.45298445224761963
1763184339.6158814,56,0.44753339886665344
1763184359.0878537,57,0.4031071066856384
1763184378.5542316,58,0.3908421993255615
1763184398.2663429,59,0.48078495264053345
1763184417.8275993,60,0.43172526359558105
1763184437.3198802,61,0.38866177201271057
1763184456.787616,62,0.43008995056152344
